Método,Split sample pct,Val AUC,Test AUC,Test Accuracy,Intra-breed Accuracy,Threshold (from val),Intra-breed Pairs (test)
Softmax (ConvNeXt-S),10.0,0.963218038193113,0.9549184725822758,0.863080684596577,0.8080808080808081,0.5219817161560059,99
ArcFace (ConvNeXt-S),10.0,0.9771915024158294,0.9739744827936766,0.9251833740831296,0.8787878787878788,0.22444689273834229,99
